0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:50 +0900] "GET /web/resources/js/reservation/eunyeong.js?_=1556703529908 HTTP/1.1" 200 8026
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:50 +0900] "GET /web/resources/js/aquagram/jeonguk.js?_=1556703529909 HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:54 +0900] "GET /web/resources/js/aquagram/jeonguk.js?_=1556703529911 HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:54 +0900] "GET /web/resources/css/reservation/main.css HTTP/1.1" 200 22257
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:54 +0900] "GET /web/resources/css/reservation/resdetail.css HTTP/1.1" 200 27115
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:54 +0900] "GET /web/resources/css/reservation/swiper.min.css HTTP/1.1" 200 19773
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:54 +0900] "GET /web/resources/js/app.js?_=1556703529912 HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:54 +0900] "GET /web/resources/js/component/eycompo.js?_=1556703529910 HTTP/1.1" 200 20464
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:59 +0900] "GET /web/products HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/undefined/resources/js/router.js?_=1556703529913 HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/ HTTP/1.1" 200 18524
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/js/reservation/vendor/swiper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/js/reservation/eunyeong.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/js/component/eycompo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/video/nakuh_main.mp4 HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/video/aquarium.mp4 HTTP/1.1" 404 1159
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/js/router.js?_=1556703567322 HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/js/reservation/eunyeong.js?_=1556703567324 HTTP/1.1" 200 8026
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/js/admin/jieun.js?_=1556703567323 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [01/May/2019:18:39:27 +0900] "GET /web/resources/js/aquagram/jeonguk.js?_=1556703567325 HTTP/1.1" 200 1243
